SkodaRang,Leto,PKID,Textbox6
Požari na prometnih sredstvih,2015,860.208,požari na sredstvih vodnega prometa,60.000,6.821.142
Požari na prometnih sredstvih,2016,520.239,požari na sredstvih vodnega prometa,1,4.231.368
Požari na prometnih sredstvih,2017,320.287,požari na sredstvih vodnega prometa,10.001,5.331.251
Požari v naravi oziroma na prostem,2005,20.112,požari na gozdnih in grmovnih površinah,36,4.280.514
Požari v naravi oziroma na prostem,2006,130.084,požari na gozdnih in grmovnih površinah,130.039,6.700.467
Požari v naravi oziroma na prostem,2007,110.147,požari na gozdnih in grmovnih površinah,69,11.630.511
Požari v naravi oziroma na prostem,2008,10.012,požari na gozdnih in grmovnih površinah,0,6.880.270
Požari v naravi oziroma na prostem,2009,10.006,požari na gozdnih in grmovnih površinah,0,6.650.278
Požari v naravi oziroma na prostem,2010,3.040.174,požari na gozdnih in grmovnih površinah,30.018,14.420.644
Požari v naravi oziroma na prostem,2011,30.506,požari na gozdnih in grmovnih površinah,90,2.900.975
Požari v naravi oziroma na prostem,2012,60.142,požari na gozdnih in grmovnih površinah,24,7.120.762
Požari v naravi oziroma na prostem,2013,200.128,požari na gozdnih in grmovnih površinah,100.028,5.600.911
Požari v naravi oziroma na prostem,2014,2.000.045,požari na gozdnih in grmovnih površinah,1.000.007,7.770.499
Požari v naravi oziroma na prostem,2015,30.202,požari na gozdnih in grmovnih površinah,20.046,6.821.142
Požari v naravi oziroma na prostem,2016,80.283,požari na gozdnih in grmovnih površinah,70.078,4.231.368
Požari v naravi oziroma na prostem,2017,50.210,požari na gozdnih in grmovnih površinah,50.049,5.331.251
Požari v naravi oziroma na prostem,2005,20.112,požari na obdelanih površinah,4,4.280.514
Požari v naravi oziroma na prostem,2006,130.084,požari na obdelanih površinah,0,6.700.467
Požari v naravi oziroma na prostem,2007,110.147,požari na obdelanih površinah,4,11.630.511
Požari v naravi oziroma na prostem,2008,10.012,požari na obdelanih površinah,0,6.880.270
Požari v naravi oziroma na prostem,2009,10.006,požari na obdelanih površinah,0,6.650.278
Požari v naravi oziroma na prostem,2010,3.040.174,požari na obdelanih površinah,1.000.001,14.420.644
Požari v naravi oziroma na prostem,2011,30.506,požari na obdelanih površinah,11,2.900.975
Požari v naravi oziroma na prostem,2012,60.142,požari na obdelanih površinah,9,7.120.762
Požari v naravi oziroma na prostem,2013,200.128,požari na obdelanih površinah,4,5.600.911
Požari v naravi oziroma na prostem,2014,2.000.045,požari na obdelanih površinah,3,7.770.499
Požari v naravi oziroma na prostem,2015,30.202,požari na obdelanih površinah,6,6.821.142
Požari v naravi oziroma na prostem,2016,80.283,požari na obdelanih površinah,12,4.231.368
Požari v naravi oziroma na prostem,2017,50.210,požari na obdelanih površinah,9,5.331.251
Požari v naravi oziroma na prostem,2005,20.112,požari na travniških površinah,20.046,4.280.514
Požari v naravi oziroma na prostem,2006,130.084,požari na travniških površinah,23,6.700.467
Požari v naravi oziroma na prostem,2007,110.147,požari na travniških površinah,10.042,11.630.511
Požari v naravi oziroma na prostem,2008,10.012,požari na travniških površinah,0,6.880.270
Požari v naravi oziroma na prostem,2009,10.006,požari na travniških površinah,2,6.650.278
Požari v naravi oziroma na prostem,2010,3.040.174,požari na travniških površinah,2.000.105,14.420.644
Požari v naravi oziroma na prostem,2011,30.506,požari na travniških površinah,30.335,2.900.975
Požari v naravi oziroma na prostem,2012,60.142,požari na travniških površinah,60.070,7.120.762
Požari v naravi oziroma na prostem,2013,200.128,požari na travniških površinah,40,5.600.911
Požari v naravi oziroma na prostem,2014,2.000.045,požari na travniških površinah,1.000.012,7.770.499
Požari v naravi oziroma na prostem,2015,30.202,požari na travniških površinah,57,6.821.142
Požari v naravi oziroma na prostem,2016,80.283,požari na travniških površinah,86,4.231.368
Požari v naravi oziroma na prostem,2017,50.210,požari na travniških površinah,61,5.331.251
Požari v naravi oziroma na prostem,2005,20.112,"požari na smetiščih, odlagališčih",6,4.280.514
Požari v naravi oziroma na prostem,2006,130.084,"požari na smetiščih, odlagališčih",10,6.700.467
Požari v naravi oziroma na prostem,2007,110.147,"požari na smetiščih, odlagališčih",100.011,11.630.511
Požari v naravi oziroma na prostem,2008,10.012,"požari na smetiščih, odlagališčih",0,6.880.270
Požari v naravi oziroma na prostem,2009,10.006,"požari na smetiščih, odlagališčih",0,6.650.278
Požari v naravi oziroma na prostem,2010,3.040.174,"požari na smetiščih, odlagališčih",9,14.420.644
Požari v naravi oziroma na prostem,2011,30.506,"požari na smetiščih, odlagališčih",16,2.900.975
Požari v naravi oziroma na prostem,2012,60.142,"požari na smetiščih, odlagališčih",2,7.120.762
Požari v naravi oziroma na prostem,2013,200.128,"požari na smetiščih, odlagališčih",2,5.600.911
Požari v naravi oziroma na prostem,2014,2.000.045,"požari na smetiščih, odlagališčih",0,7.770.499
Požari v naravi oziroma na prostem,2015,30.202,"požari na smetiščih, odlagališčih",5,6.821.142
Požari v naravi oziroma na prostem,2016,80.283,"požari na smetiščih, odlagališčih",16,4.231.368
Požari v naravi oziroma na prostem,2017,50.210,"požari na smetiščih, odlagališčih",5,5.331.251
Požari v naravi oziroma na prostem,2005,20.112,drugi požari v naravi oziroma na prostem,20,4.280.514
Požari v naravi oziroma na prostem,2006,130.084,drugi požari v naravi oziroma na prostem,12,6.700.467
Požari v naravi oziroma na prostem,2007,110.147,drugi požari v naravi oziroma na prostem,21,11.630.511
Požari v naravi oziroma na prostem,2008,10.012,drugi požari v naravi oziroma na prostem,10.012,6.880.270
Požari v naravi oziroma na prostem,2009,10.006,drugi požari v naravi oziroma na prostem,10.004,6.650.278
Požari v naravi oziroma na prostem,2010,3.040.174,drugi požari v naravi oziroma na prostem,10.041,14.420.644
Požari v naravi oziroma na prostem,2011,30.506,drugi požari v naravi oziroma na prostem,54,2.900.975
Požari v naravi oziroma na prostem,2012,60.142,drugi požari v naravi oziroma na prostem,37,7.120.762
Požari v naravi oziroma na prostem,2013,200.128,drugi požari v naravi oziroma na prostem,100.054,5.600.911
Požari v naravi oziroma na prostem,2014,2.000.045,drugi požari v naravi oziroma na prostem,23,7.770.499
Požari v naravi oziroma na prostem,2015,30.202,drugi požari v naravi oziroma na prostem,10.088,6.821.142
Požari v naravi oziroma na prostem,2016,80.283,drugi požari v naravi oziroma na prostem,10.091,4.231.368
Požari v naravi oziroma na prostem,2017,50.210,drugi požari v naravi oziroma na prostem,86,5.331.251
Požari v komunalnih in drugih zabojnikih,2005,64,požari v komunalnih in drugih zabojnikih,64,4.280.514
Požari v komunalnih in drugih zabojnikih,2006,20.044,požari v komunalnih in drugih zabojnikih,20.044,6.700.467
Požari v komunalnih in drugih zabojnikih,2007,81,požari v komunalnih in drugih zabojnikih,81,11.630.511
Požari v komunalnih in drugih zabojnikih,2008,19,požari v komunalnih in drugih zabojnikih,19,6.880.270
Požari v komunalnih in drugih zabojnikih,2009,27,požari v komunalnih in drugih zabojnikih,27,6.650.278
Požari v komunalnih in drugih zabojnikih,2010,10.003,požari v komunalnih in drugih zabojnikih,10.003,14.420.644
Požari v komunalnih in drugih zabojnikih,2011,1.000.100,požari v komunalnih in drugih zabojnikih,1.000.100,2.900.975
Požari v komunalnih in drugih zabojnikih,2012,30.160,požari v komunalnih in drugih zabojnikih,30.160,7.120.762
Požari v komunalnih in drugih zabojnikih,2013,10.162,požari v komunalnih in drugih zabojnikih,10.162,5.600.911
Požari v komunalnih in drugih zabojnikih,2014,71,požari v komunalnih in drugih zabojnikih,71,7.770.499
Požari v komunalnih in drugih zabojnikih,2015,10.184,požari v komunalnih in drugih zabojnikih,10.184,6.821.142
Požari v komunalnih in drugih zabojnikih,2016,206,požari v komunalnih in drugih zabojnikih,206,4.231.368
Požari v komunalnih in drugih zabojnikih,2017,20.169,požari v komunalnih in drugih zabojnikih,20.169,5.331.251

