Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
Požari v naravi oziroma na prostem,2016,2.401,požari na travniških površinah,646,7.496
Požari v naravi oziroma na prostem,2017,3.660,požari na travniških površinah,1.200,8.595
Požari v naravi oziroma na prostem,2005,2.400,"požari na smetiščih, odlagališčih",339,6.831
Požari v naravi oziroma na prostem,2006,3.592,"požari na smetiščih, odlagališčih",485,8.550
Požari v naravi oziroma na prostem,2007,3.262,"požari na smetiščih, odlagališčih",556,8.449
Požari v naravi oziroma na prostem,2008,2.245,"požari na smetiščih, odlagališčih",337,7.177
Požari v naravi oziroma na prostem,2009,2.878,"požari na smetiščih, odlagališčih",303,7.910
Požari v naravi oziroma na prostem,2010,1.434,"požari na smetiščih, odlagališčih",156,5.725
Požari v naravi oziroma na prostem,2011,3.060,"požari na smetiščih, odlagališčih",157,8.223
Požari v naravi oziroma na prostem,2012,4.041,"požari na smetiščih, odlagališčih",148,9.137
Požari v naravi oziroma na prostem,2013,2.364,"požari na smetiščih, odlagališčih",104,7.130
Požari v naravi oziroma na prostem,2014,1.279,"požari na smetiščih, odlagališčih",73,5.917
Požari v naravi oziroma na prostem,2015,2.165,"požari na smetiščih, odlagališčih",104,6.955
Požari v naravi oziroma na prostem,2016,2.401,"požari na smetiščih, odlagališčih",91,7.496
Požari v naravi oziroma na prostem,2017,3.660,"požari na smetiščih, odlagališčih",102,8.595
Požari v naravi oziroma na prostem,2005,2.400,drugi požari v naravi oziroma na prostem,511,6.831
Požari v naravi oziroma na prostem,2006,3.592,drugi požari v naravi oziroma na prostem,667,8.550
Požari v naravi oziroma na prostem,2007,3.262,drugi požari v naravi oziroma na prostem,578,8.449
Požari v naravi oziroma na prostem,2008,2.245,drugi požari v naravi oziroma na prostem,608,7.177
Požari v naravi oziroma na prostem,2009,2.878,drugi požari v naravi oziroma na prostem,502,7.910
Požari v naravi oziroma na prostem,2010,1.434,drugi požari v naravi oziroma na prostem,489,5.725
Požari v naravi oziroma na prostem,2011,3.060,drugi požari v naravi oziroma na prostem,824,8.223
Požari v naravi oziroma na prostem,2012,4.041,drugi požari v naravi oziroma na prostem,987,9.137
Požari v naravi oziroma na prostem,2013,2.364,drugi požari v naravi oziroma na prostem,815,7.130
Požari v naravi oziroma na prostem,2014,1.279,drugi požari v naravi oziroma na prostem,534,5.917
Požari v naravi oziroma na prostem,2015,2.165,drugi požari v naravi oziroma na prostem,754,6.955
Požari v naravi oziroma na prostem,2016,2.401,drugi požari v naravi oziroma na prostem,819,7.496
Požari v naravi oziroma na prostem,2017,3.660,drugi požari v naravi oziroma na prostem,1.146,8.595
Požari v komunalnih in drugih zabojnikih,2005,567,požari v komunalnih in drugih zabojnikih,567,6.831
Požari v komunalnih in drugih zabojnikih,2006,674,požari v komunalnih in drugih zabojnikih,674,8.550
Požari v komunalnih in drugih zabojnikih,2007,691,požari v komunalnih in drugih zabojnikih,691,8.449
Požari v komunalnih in drugih zabojnikih,2008,615,požari v komunalnih in drugih zabojnikih,615,7.177
Požari v komunalnih in drugih zabojnikih,2009,632,požari v komunalnih in drugih zabojnikih,632,7.910
Požari v komunalnih in drugih zabojnikih,2010,449,požari v komunalnih in drugih zabojnikih,449,5.725
Požari v komunalnih in drugih zabojnikih,2011,687,požari v komunalnih in drugih zabojnikih,687,8.223
Požari v komunalnih in drugih zabojnikih,2012,607,požari v komunalnih in drugih zabojnikih,607,9.137
Požari v komunalnih in drugih zabojnikih,2013,449,požari v komunalnih in drugih zabojnikih,449,7.130
Požari v komunalnih in drugih zabojnikih,2014,408,požari v komunalnih in drugih zabojnikih,408,5.917
Požari v komunalnih in drugih zabojnikih,2015,427,požari v komunalnih in drugih zabojnikih,427,6.955
Požari v komunalnih in drugih zabojnikih,2016,476,požari v komunalnih in drugih zabojnikih,476,7.496
Požari v komunalnih in drugih zabojnikih,2017,390,požari v komunalnih in drugih zabojnikih,390,8.595

VrstaEnote2,Leto2,Textbox168,VrstaDogodka2,Textbox172,Dogodek1,PKID3,Textbox163
IGE,2005,14,Požari v objektih,13,Stanovanjske stavbe,3,6.831
IGE,2006,17,Požari v objektih,10,Stanovanjske stavbe,2,8.550
IGE,2007,20,Požari v objektih,13,Stanovanjske stavbe,0,8.449
IGE,2008,12,Požari v objektih,5,Stanovanjske stavbe,1,7.177
IGE,2009,19,Požari v objektih,10,Stanovanjske stavbe,0,7.910
IGE,2010,10,Požari v objektih,7,Stanovanjske stavbe,3,5.725
IGE,2011,16,Požari v objektih,5,Stanovanjske stavbe,1,8.223
IGE,2012,9,Požari v objektih,6,Stanovanjske stavbe,1,9.137
IGE,2013,12,Požari v objektih,7,Stanovanjske stavbe,1,7.130
IGE,2014,3,Požari v objektih,2,Stanovanjske stavbe,0,5.917
IGE,2015,11,Požari v objektih,8,Stanovanjske stavbe,3,6.955
IGE,2016,11,Požari v objektih,4,Stanovanjske stavbe,0,7.496
IGE,2017,23,Požari v objektih,16,Stanovanjske stavbe,4,8.595
IGE,2005,14,Požari v objektih,13,Nestanovanjske stavbe,8,6.831
IGE,2006,17,Požari v objektih,10,Nestanovanjske stavbe,8,8.550
IGE,2007,20,Požari v objektih,13,Nestanovanjske stavbe,10,8.449
IGE,2008,12,Požari v objektih,5,Nestanovanjske stavbe,3,7.177
IGE,2009,19,Požari v objektih,10,Nestanovanjske stavbe,9,7.910
IGE,2010,10,Požari v objektih,7,Nestanovanjske stavbe,1,5.725
IGE,2011,16,Požari v objektih,5,Nestanovanjske stavbe,1,8.223
IGE,2012,9,Požari v objektih,6,Nestanovanjske stavbe,4,9.137
IGE,2013,12,Požari v objektih,7,Nestanovanjske stavbe,4,7.130
IGE,2014,3,Požari v objektih,2,Nestanovanjske stavbe,1,5.917
IGE,2015,11,Požari v objektih,8,Nestanovanjske stavbe,4,6.955
IGE,2016,11,Požari v objektih,4,Nestanovanjske stavbe,0,7.496
IGE,2017,23,Požari v objektih,16,Nestanovanjske stavbe,6,8.595
IGE,2005,14,Požari v objektih,13,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,6.831
IGE,2006,17,Požari v objektih,10,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,8.550
IGE,2007,20,Požari v objektih,13,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",1,8.449
IGE,2008,12,Požari v objektih,5,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,7.177
IGE,2009,19,Požari v objektih,10,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",1,7.910
IGE,2010,10,Požari v objektih,7,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,5.725
IGE,2011,16,Požari v objektih,5,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,8.223
IGE,2012,9,Požari v objektih,6,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,9.137
IGE,2013,12,Požari v objektih,7,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,7.130
IGE,2014,3,Požari v objektih,2,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,5.917
IGE,2015,11,Požari v objektih,8,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,6.955
IGE,2016,11,Požari v objektih,4,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",0,7.496
IGE,2017,23,Požari v objektih,16,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",1,8.595
IGE,2005,14,Požari v objektih,13,Kompleksni industrijski objekti,1,6.831
IGE,2006,17,Požari v objektih,10,Kompleksni industrijski objekti,0,8.550
IGE,2007,20,Požari v objektih,13,Kompleksni industrijski objekti,2,8.449
IGE,2008,12,Požari v objektih,5,Kompleksni industrijski objekti,1,7.177
IGE,2009,19,Požari v objektih,10,Kompleksni industrijski objekti,0,7.910
IGE,2010,10,Požari v objektih,7,Kompleksni industrijski objekti,3,5.725
IGE,2011,16,Požari v objektih,5,Kompleksni industrijski objekti,3,8.223
IGE,2012,9,Požari v objektih,6,Kompleksni industrijski objekti,1,9.137
IGE,2013,12,Požari v objektih,7,Kompleksni industrijski objekti,2,7.130
IGE,2014,3,Požari v objektih,2,Kompleksni industrijski objekti,1,5.917
