aktivnost,stevilo,enota
POŽARI IN EKSPLOZIJE,3,JARENINA
DRUGE NESREČE,1,JARŠE - RODICA
POŽARI IN EKSPLOZIJE,5,JARŠE - RODICA
DRUGE NESREČE,1,JAVORJE
POŽARI IN EKSPLOZIJE,1,JAVORJE
TEHNIČNA IN DRUGA POMOČ,3,JAVORJE
DRUGE NESREČE,1,JELŠANE
POŽARI IN EKSPLOZIJE,1,JELŠANE
DRUGE NESREČE,1,JEVNICA
NESREČE V PROMETU,1,JEVNICA
POŽARI IN EKSPLOZIJE,3,JEVNICA
TEHNIČNA IN DRUGA POMOČ,1,JEVNICA
POŽARI IN EKSPLOZIJE,4,JEZERO
POŽARI IN EKSPLOZIJE,1,JURJEVICA
NARAVNE NESREČE,1,JURKLOŠTER
DRUGE NESREČE,1,KAMNICA
NARAVNE NESREČE,1,KAMNICA
POŽARI IN EKSPLOZIJE,5,KAMNICA
TEHNIČNA IN DRUGA POMOČ,4,KAMNICA
DRUGE NESREČE,3,KAMNIK
NESREČE V PROMETU,62,KAMNIK
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",10,KAMNIK
POŽARI IN EKSPLOZIJE,49,KAMNIK
TEHNIČNA IN DRUGA POMOČ,23,KAMNIK
DRUGE NESREČE,1,KAMNIK POD KRIMOM
NARAVNE NESREČE,1,KAMNIK POD KRIMOM
POŽARI IN EKSPLOZIJE,3,KAMNIK POD KRIMOM
TEHNIČNA IN DRUGA POMOČ,1,KAMNIK POD KRIMOM
POŽARI IN EKSPLOZIJE,5,KAMNIŠKA BISTRICA
POŽARI IN EKSPLOZIJE,2,KAPLA PONDOR
NESREČE V PROMETU,1,KARLOVICA
POŽARI IN EKSPLOZIJE,2,KARLOVICA
DRUGE NESREČE,2,KEBELJ
POŽARI IN EKSPLOZIJE,2,KEBELJ
POŽARI IN EKSPLOZIJE,2,KLEK
POŽARI IN EKSPLOZIJE,1,KLJUČAROVCI PRI ORMOŽU
TEHNIČNA IN DRUGA POMOČ,2,KLJUČAROVCI PRI ORMOŽU
POŽARI IN EKSPLOZIJE,1,KLOPCE
DRUGE NESREČE,4,KOBARID
NARAVNE NESREČE,2,KOBARID
NESREČE V PROMETU,13,KOBARID
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",4,KOBARID
POŽARI IN EKSPLOZIJE,7,KOBARID
TEHNIČNA IN DRUGA POMOČ,22,KOBARID
POŽARI IN EKSPLOZIJE,2,KOBILJE
DRUGE NESREČE,1,KOČEVJE
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",3,KOČEVJE
NARAVNE NESREČE,2,KOČEVJE
NESREČE V PROMETU,5,KOČEVJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,KOČEVJE
POŽARI IN EKSPLOZIJE,56,KOČEVJE
TEHNIČNA IN DRUGA POMOČ,14,KOČEVJE
DRUGE NESREČE,1,KOČEVSKA REKA
POŽARI IN EKSPLOZIJE,3,KOČEVSKA REKA
POŽARI IN EKSPLOZIJE,4,KOKRICA
NARAVNE NESREČE,1,KOLOVRAT
POŽARI IN EKSPLOZIJE,1,KOLOVRAT
TEHNIČNA IN DRUGA POMOČ,2,KOLOVRAT
DRUGE NESREČE,3,KOMEN
NESREČE V PROMETU,4,KOMEN
POŽARI IN EKSPLOZIJE,24,KOMEN
TEHNIČNA IN DRUGA POMOČ,8,KOMEN
POŽARI IN EKSPLOZIJE,1,KOMPOLJE
DRUGE NESREČE,2,KOPRIVNIK
POŽARI IN EKSPLOZIJE,1,KOPRIVNIK
NESREČE V PROMETU,3,KOSTREVNICA
POŽARI IN EKSPLOZIJE,2,KOSTREVNICA
DRUGE NESREČE,1,KOŠANA
POŽARI IN EKSPLOZIJE,2,KOŠANA
NARAVNE NESREČE,1,KOT - BREZJE
POŽARI IN EKSPLOZIJE,1,KOT - BREZJE
TEHNIČNA IN DRUGA POMOČ,1,KOTREDEŽ
POŽARI IN EKSPLOZIJE,1,KOZJE
POŽARI IN EKSPLOZIJE,1,KRANJ PRIMSKOVO
DRUGE NESREČE,1,KRAŠNJA
POŽARI IN EKSPLOZIJE,6,KRAŠNJA
TEHNIČNA IN DRUGA POMOČ,1,KRAŠNJA
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,KRIŠKA VAS
POŽARI IN EKSPLOZIJE,4,KRIŠKA VAS
POŽARI IN EKSPLOZIJE,6,KRIŽE
POŽARI IN EKSPLOZIJE,1,KRIŽE 1999
POŽARI IN EKSPLOZIJE,1,KRIŽEVCI
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,KRKA
POŽARI IN EKSPLOZIJE,3,KRKA
TEHNIČNA IN DRUGA POMOČ,1,KRKA
POŽARI IN EKSPLOZIJE,1,KUPLJENIK
TEHNIČNA IN DRUGA POMOČ,1,KUPLJENIK
DRUGE NESREČE,5,LAŠKO
NARAVNE NESREČE,5,LAŠKO
NESREČE V PROMETU,17,LAŠKO
POŽARI IN EKSPLOZIJE,19,LAŠKO
TEHNIČNA IN DRUGA POMOČ,19,LAŠKO
POŽARI IN EKSPLOZIJE,4,LAVRICA
TEHNIČNA IN DRUGA POMOČ,4,LAVRICA
POŽARI IN EKSPLOZIJE,2,LEDINE
TEHNIČNA IN DRUGA POMOČ,1,LEDINE
NARAVNE NESREČE,2,LESCE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,LESCE
POŽARI IN EKSPLOZIJE,7,LESCE
TEHNIČNA IN DRUGA POMOČ,9,LESCE
POŽARI IN EKSPLOZIJE,2,LESKOVEC
TEHNIČNA IN DRUGA POMOČ,2,LESKOVEC
POŽARI IN EKSPLOZIJE,2,LEŠE
DRUGE NESREČE,1,LEVEC
POŽARI IN EKSPLOZIJE,4,LEVEC
DRUGE NESREČE,2,LIBELIČE
POŽARI IN EKSPLOZIJE,2,LIPOVEC
DRUGE NESREČE,4,LITIJA
NESREČE V PROMETU,23,LITIJA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",3,LITIJA
POŽARI IN EKSPLOZIJE,18,LITIJA
TEHNIČNA IN DRUGA POMOČ,14,LITIJA
NESREČE V PROMETU,1,LJUBEČNA
POŽARI IN EKSPLOZIJE,2,LJUBEČNA
NARAVNE NESREČE,1,LJUBLJANA - TRNOVO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,LJUBLJANA - TRNOVO
POŽARI IN EKSPLOZIJE,11,LJUBLJANA - TRNOVO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,LJUBLJANA - VIČ
POŽARI IN EKSPLOZIJE,17,LJUBLJANA - VIČ
TEHNIČNA IN DRUGA POMOČ,4,LJUBLJANA - VIČ
DRUGE NESREČE,1,LJUBNO OB SAVINJI
NESREČE V PROMETU,1,LJUBNO OB SAVINJI
POŽARI IN EKSPLOZIJE,7,LJUBNO OB SAVINJI
TEHNIČNA IN DRUGA POMOČ,1,LJUBNO OB SAVINJI
DRUGE NESREČE,2,LOČICA OB SAVINJI
POŽARI IN EKSPLOZIJE,4,LOČICA OB SAVINJI
TEHNIČNA IN DRUGA POMOČ,1,LOČICA OB SAVINJI
DRUGE NESREČE,1,LOG POD MANGARTOM
POŽARI IN EKSPLOZIJE,1,LOKA
NESREČE V PROMETU,2,LOKA PRI MENGŠU
POŽARI IN EKSPLOZIJE,6,LOKA PRI MENGŠU
TEHNIČNA IN DRUGA POMOČ,7,LOKA PRI MENGŠU
POŽARI IN EKSPLOZIJE,1,ADLEŠIČI
TEHNIČNA IN DRUGA POMOČ,1,ADLEŠIČI
POŽARI IN EKSPLOZIJE,4,AJDOVŠČINA
NARAVNE NESREČE,1,APAČE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,APAČE
POŽARI IN EKSPLOZIJE,4,APAČE
TEHNIČNA IN DRUGA POMOČ,1,APAČE
DRUGE NESREČE,1,ARJA VAS
POŽARI IN EKSPLOZIJE,2,ARJA VAS
POŽARI IN EKSPLOZIJE,1,AVČE
TEHNIČNA IN DRUGA POMOČ,1,AVČE
POŽARI IN EKSPLOZIJE,3,BAKOVCI
POŽARI IN EKSPLOZIJE,5,BARJE
TEHNIČNA IN DRUGA POMOČ,2,BARJE
DRUGE NESREČE,1,BEGUNJE NA GORENJSKEM
POŽARI IN EKSPLOZIJE,5,BEGUNJE NA GORENJSKEM
TEHNIČNA IN DRUGA POMOČ,2,BEGUNJE NA GORENJSKEM
TEHNIČNA IN DRUGA POMOČ,1,BELA CERKEV
POŽARI IN EKSPLOZIJE,1,BESNICA
POŽARI IN EKSPLOZIJE,2,BEVKE
POŽARI IN EKSPLOZIJE,1,BEZULJAK
DRUGE NESREČE,1,BISTRICA OB DRAVI
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,BISTRICA OB DRAVI
POŽARI IN EKSPLOZIJE,5,BISTRICA OB DRAVI
TEHNIČNA IN DRUGA POMOČ,6,BISTRICA OB DRAVI
NESREČE V PROMETU,4,BISTRICA PRI TRŽIČU
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,BISTRICA PRI TRŽIČU
POŽARI IN EKSPLOZIJE,17,BISTRICA PRI TRŽIČU
TEHNIČNA IN DRUGA POMOČ,14,BISTRICA PRI TRŽIČU
POŽARI IN EKSPLOZIJE,1,BLEJSKA DOBRAVA
POŽARI IN EKSPLOZIJE,3,BOČNA
TEHNIČNA IN DRUGA POMOČ,1,BOČNA
POŽARI IN EKSPLOZIJE,2,BOHINJSKA BELA
DRUGE NESREČE,3,BOHINJSKA BISTRICA
NARAVNE NESREČE,1,BOHINJSKA BISTRICA
NESREČE V PROMETU,11,BOHINJSKA BISTRICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,BOHINJSKA BISTRICA
POŽARI IN EKSPLOZIJE,17,BOHINJSKA BISTRICA
TEHNIČNA IN DRUGA POMOČ,6,BOHINJSKA BISTRICA
DRUGE NESREČE,1,BOHINJSKA ČEŠNJICA
POŽARI IN EKSPLOZIJE,1,BOHINJSKA ČEŠNJICA
NARAVNE NESREČE,2,BOŠTANJ
POŽARI IN EKSPLOZIJE,4,BOŠTANJ
POŽARI IN EKSPLOZIJE,2,BRANOSLAVCI
TEHNIČNA IN DRUGA POMOČ,1,BRANOSLAVCI
POŽARI IN EKSPLOZIJE,1,BREG
DRUGE NESREČE,1,BREG - PAKO
POŽARI IN EKSPLOZIJE,1,BREG - PAKO
POŽARI IN EKSPLOZIJE,2,BREG OB SAVI
POŽARI IN EKSPLOZIJE,2,BRESTANICA
POŽARI IN EKSPLOZIJE,7,BREZJE
TEHNIČNA IN DRUGA POMOČ,3,BREZJE
POŽARI IN EKSPLOZIJE,1,BREZOVICA
NARAVNE NESREČE,1,BREZOVICA PRI BOROVNICI
POŽARI IN EKSPLOZIJE,1,BREZOVICA PRI BOROVNICI
POŽARI IN EKSPLOZIJE,4,BREZOVICA PRI LJUBLJANI
TEHNIČNA IN DRUGA POMOČ,1,BREZOVICA PRI LJUBLJANI
POŽARI IN EKSPLOZIJE,1,BREZOVICI POD KRIMOM
DRUGE NESREČE,1,BREŽICE
POŽARI IN EKSPLOZIJE,12,BREŽICE
TEHNIČNA IN DRUGA POMOČ,13,BREŽICE
DRUGE NESREČE,1,BUČKA
POŽARI IN EKSPLOZIJE,1,BUČKA
POŽARI IN EKSPLOZIJE,7,BUKOŠEK
POŽARI IN EKSPLOZIJE,1,BUKOVICA 
POŽARI IN EKSPLOZIJE,1,BUKOVICA - UTIK
TEHNIČNA IN DRUGA POMOČ,1,BUKOVICA - UTIK
POŽARI IN EKSPLOZIJE,2,BUKOVO - ZAKOJCA
TEHNIČNA IN DRUGA POMOČ,1,BUKOVO - ZAKOJCA
POŽARI IN EKSPLOZIJE,7,CERKLJE OB KRKI
DRUGE NESREČE,5,CERKNICA
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,CERKNICA
NARAVNE NESREČE,1,CERKNICA
NESREČE V PROMETU,24,CERKNICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,CERKNICA
POŽARI IN EKSPLOZIJE,19,CERKNICA
TEHNIČNA IN DRUGA POMOČ,22,CERKNICA
DRUGE NESREČE,1,CERKNO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,CERKNO
POŽARI IN EKSPLOZIJE,9,CERKNO
TEHNIČNA IN DRUGA POMOČ,6,CERKNO
POŽARI IN EKSPLOZIJE,3,CERKVENJAK
TEHNIČNA IN DRUGA POMOČ,1,CERKVENJAK
POŽARI IN EKSPLOZIJE,1,CEZANJEVCI
TEHNIČNA IN DRUGA POMOČ,1,CEZANJEVCI
POŽARI IN EKSPLOZIJE,1,CVEN
POŽARI IN EKSPLOZIJE,1,CVETKOVCI
POŽARI IN EKSPLOZIJE,3,ČENTIBA
TEHNIČNA IN DRUGA POMOČ,1,ČENTIBA
