aktivnost,stevilo,enota
POŽARI IN EKSPLOZIJE,6,STARA CERKEV
POŽARI IN EKSPLOZIJE,2,STARA VAS
POŽARI IN EKSPLOZIJE,7,STARI TRG
TEHNIČNA IN DRUGA POMOČ,1,STARI TRG
TEHNIČNA IN DRUGA POMOČ,1,STARI TRG OB KOLPI
DRUGE NESREČE,2,STARI TRG PRI LOŽU
POŽARI IN EKSPLOZIJE,3,STARI TRG PRI LOŽU
TEHNIČNA IN DRUGA POMOČ,5,STARI TRG PRI LOŽU
DRUGE NESREČE,1,STARŠE
NESREČE V PROMETU,1,STARŠE
POŽARI IN EKSPLOZIJE,3,STARŠE
DRUGE NESREČE,4,STEKLARNA ROGAŠKA SLATINA
NARAVNE NESREČE,1,STEKLARNA ROGAŠKA SLATINA
NESREČE V PROMETU,36,STEKLARNA ROGAŠKA SLATINA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,STEKLARNA ROGAŠKA SLATINA
POŽARI IN EKSPLOZIJE,13,STEKLARNA ROGAŠKA SLATINA
TEHNIČNA IN DRUGA POMOČ,14,STEKLARNA ROGAŠKA SLATINA
DRUGE NESREČE,1,STIČNA
NESREČE V PROMETU,9,STIČNA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,STIČNA
POŽARI IN EKSPLOZIJE,10,STIČNA
TEHNIČNA IN DRUGA POMOČ,2,STIČNA
POŽARI IN EKSPLOZIJE,1,STOB - DEPALA VAS
POŽARI IN EKSPLOZIJE,3,STOJNCI
TEHNIČNA IN DRUGA POMOČ,2,STOJNCI
POŽARI IN EKSPLOZIJE,3,STOŽICE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,STRANICE
POŽARI IN EKSPLOZIJE,1,STRANICE
POŽARI IN EKSPLOZIJE,1,STROČJA VAS
POŽARI IN EKSPLOZIJE,1,STRUGE
NARAVNE NESREČE,1,SUHOR
POŽARI IN EKSPLOZIJE,1,SUHOR
DRUGE NESREČE,1,SV. ANA
POŽARI IN EKSPLOZIJE,4,SV. ANA
POŽARI IN EKSPLOZIJE,1,SV. LOVRENC
NESREČE V PROMETU,2,SV. TROJICA
NARAVNE NESREČE,1,SVETI FLORIJAN
POŽARI IN EKSPLOZIJE,1,SVETI FLORIJAN
TEHNIČNA IN DRUGA POMOČ,1,SVETI FLORIJAN
POŽARI IN EKSPLOZIJE,2,SVETI GREGOR
NARAVNE NESREČE,2,SVETI JURIJ
POŽARI IN EKSPLOZIJE,5,SVETI JURIJ
TEHNIČNA IN DRUGA POMOČ,8,SVETI JURIJ
POŽARI IN EKSPLOZIJE,1,SVETI JURIJ V SLOVENSKIH GORICAH
DRUGE NESREČE,1,SVETINA
POŽARI IN EKSPLOZIJE,6,ŠALEK
TEHNIČNA IN DRUGA POMOČ,1,ŠALEK
POŽARI IN EKSPLOZIJE,1,ŠALOVCI
NESREČE V PROMETU,1,ŠEMPETER V SAVINJSKI DOLINI
POŽARI IN EKSPLOZIJE,5,ŠEMPETER V SAVINJSKI DOLINI
TEHNIČNA IN DRUGA POMOČ,5,ŠEMPETER V SAVINJSKI DOLINI
POŽARI IN EKSPLOZIJE,4,ŠENTILJ
DRUGE NESREČE,2,ŠENTJANŽ PRI DRAVOGRADU
TEHNIČNA IN DRUGA POMOČ,1,ŠENTJANŽ PRI DRAVOGRADU
POŽARI IN EKSPLOZIJE,12,ŠENTJUR PRI CELJU
TEHNIČNA IN DRUGA POMOČ,4,ŠENTJUR PRI CELJU
POŽARI IN EKSPLOZIJE,1,ŠENTLAMBERT
DRUGE NESREČE,1,ŠENTLOVRENC
NARAVNE NESREČE,1,ŠENTLOVRENC
NARAVNE NESREČE,1,ŠENTRUPERT PRI LAŠKEM
POŽARI IN EKSPLOZIJE,1,STARA VAS - LOKA
DRUGE NESREČE,2,STARA VRHNIKA
NESREČE V PROMETU,38,STARA VRHNIKA
POŽARI IN EKSPLOZIJE,13,STARA VRHNIKA
TEHNIČNA IN DRUGA POMOČ,18,STARA VRHNIKA
DRUGE NESREČE,4,STOPERCE
NARAVNE NESREČE,1,STOPERCE
POŽARI IN EKSPLOZIJE,3,STOPERCE
TEHNIČNA IN DRUGA POMOČ,1,STOPERCE
POŽARI IN EKSPLOZIJE,1,STRAŽIŠČE
NESREČE V PROMETU,1,STUDENEC
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,STUDENEC
POŽARI IN EKSPLOZIJE,9,STUDENEC
TEHNIČNA IN DRUGA POMOČ,1,STUDENEC
DRUGE NESREČE,2,STUDENO
NESREČE V PROMETU,1,STUDENO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,STUDENO
POŽARI IN EKSPLOZIJE,8,STUDENO
POŽARI IN EKSPLOZIJE,1,SUHI VRH
NARAVNE NESREČE,1,SUŠJE
POŽARI IN EKSPLOZIJE,1,SUŠJE
NARAVNE NESREČE,1,SVETI JURIJ OB ŠČAVNICI
POŽARI IN EKSPLOZIJE,2,SVETI JURIJ OB ŠČAVNICI
POŽARI IN EKSPLOZIJE,2,SVETI ŠTEFAN
NARAVNE NESREČE,1,SVIBNO
POŽARI IN EKSPLOZIJE,12,ŠALKA VAS
TEHNIČNA IN DRUGA POMOČ,1,ŠALKA VAS
TEHNIČNA IN DRUGA POMOČ,1,ŠEBRELJE
DRUGE NESREČE,3,ŠEMPETER
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,ŠEMPETER
POŽARI IN EKSPLOZIJE,20,ŠEMPETER
TEHNIČNA IN DRUGA POMOČ,12,ŠEMPETER
DRUGE NESREČE,2,ŠENČUR
POŽARI IN EKSPLOZIJE,4,ŠENČUR
DRUGE NESREČE,2,ŠENTILJ V SLOVENSKIH GORICAH
POŽARI IN EKSPLOZIJE,14,ŠENTILJ V SLOVENSKIH GORICAH
TEHNIČNA IN DRUGA POMOČ,3,ŠENTILJ V SLOVENSKIH GORICAH
POŽARI IN EKSPLOZIJE,3,ŠENTJANŽ
DRUGE NESREČE,1,ŠENTJERNEJ
NESREČE V PROMETU,5,ŠENTJERNEJ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,ŠENTJERNEJ
POŽARI IN EKSPLOZIJE,10,ŠENTJERNEJ
TEHNIČNA IN DRUGA POMOČ,2,ŠENTJERNEJ
POŽARI IN EKSPLOZIJE,1,ŠENTJOŠT
DRUGE NESREČE,1,ŠENTURŠKA GORA
POŽARI IN EKSPLOZIJE,2,ŠENTURŠKA GORA
TEHNIČNA IN DRUGA POMOČ,1,ŠENTURŠKA GORA
DRUGE NESREČE,3,ŠENTVID PRI STIČNI
POŽARI IN EKSPLOZIJE,5,ŠENTVID PRI STIČNI
TEHNIČNA IN DRUGA POMOČ,1,ŠENTVID PRI STIČNI
NESREČE V PROMETU,1,ŠKALE
POŽARI IN EKSPLOZIJE,5,ŠKALE
DRUGE NESREČE,1,ŠKOCJAN NA DOLENJSKEM
NESREČE V PROMETU,2,ŠKOCJAN NA DOLENJSKEM
POŽARI IN EKSPLOZIJE,9,ŠKOCJAN NA DOLENJSKEM
DRUGE NESREČE,2,ŠKOFJA LOKA
NARAVNE NESREČE,2,ŠKOFJA LOKA
NESREČE V PROMETU,51,ŠKOFJA LOKA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",9,ŠKOFJA LOKA
POŽARI IN EKSPLOZIJE,31,ŠKOFJA LOKA
TEHNIČNA IN DRUGA POMOČ,14,ŠKOFJA LOKA
POŽARI IN EKSPLOZIJE,7,ŠKOFLJICA
TEHNIČNA IN DRUGA POMOČ,1,ŠKOFLJICA
NESREČE V PROMETU,4,ŠMARJE SAP
POŽARI IN EKSPLOZIJE,9,ŠMARJE SAP
TEHNIČNA IN DRUGA POMOČ,2,ŠMARJE SAP
POŽARI IN EKSPLOZIJE,5,ŠMARTNO OB DRETI
DRUGE NESREČE,1,ŠMARTNO OB SAVI
POŽARI IN EKSPLOZIJE,4,ŠMARTNO OB SAVI
DRUGE NESREČE,1,ŠMARTNO V ROŽNI DOLINI
POŽARI IN EKSPLOZIJE,1,ŠMARTNO V ROŽNI DOLINI
TEHNIČNA IN DRUGA POMOČ,2,ŠMARTNO V ROŽNI DOLINI
DRUGE NESREČE,1,ŠMARTNO V TUHINJU
POŽARI IN EKSPLOZIJE,3,ŠMARTNO V TUHINJU
NESREČE V PROMETU,1,ŠMIHEL - LANDOL
POŽARI IN EKSPLOZIJE,18,ŠMIHEL PRI  NOVEM MESTU
TEHNIČNA IN DRUGA POMOČ,3,ŠMIHEL PRI  NOVEM MESTU
DRUGE NESREČE,1,ŠOŠTANJ - MESTO
NARAVNE NESREČE,1,ŠOŠTANJ - MESTO
POŽARI IN EKSPLOZIJE,6,ŠOŠTANJ - MESTO
TEHNIČNA IN DRUGA POMOČ,2,ŠOŠTANJ - MESTO
DRUGE NESREČE,1,ŠPITALIČ
POŽARI IN EKSPLOZIJE,1,ŠTANGARSKE POLJANE 
DRUGE NESREČE,1,ŠTORE
POŽARI IN EKSPLOZIJE,3,ŠTORE
DRUGE NESREČE,1,ŠTUDA
POŽARI IN EKSPLOZIJE,1,ŠTUDA
TEHNIČNA IN DRUGA POMOČ,1,ŠTUDA
DRUGE NESREČE,1,TACEN
POŽARI IN EKSPLOZIJE,6,TACEN
TEHNIČNA IN DRUGA POMOČ,2,TACEN
NARAVNE NESREČE,1,TEHARJE
POŽARI IN EKSPLOZIJE,7,TEHARJE
TEHNIČNA IN DRUGA POMOČ,1,TEHARJE
NESREČE V PROMETU,1,TEPANJE
POŽARI IN EKSPLOZIJE,1,TEPANJE
TEHNIČNA IN DRUGA POMOČ,2,TEPANJE
POŽARI IN EKSPLOZIJE,3,TEŠANOVCI
POŽARI IN EKSPLOZIJE,2,TINJE
POŽARI IN EKSPLOZIJE,3,TOMIŠELJ
DRUGE NESREČE,1,TRBOJE
DRUGE NESREČE,1,TREBNJE
NESREČE V PROMETU,47,TREBNJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",5,TREBNJE
POŽARI IN EKSPLOZIJE,15,TREBNJE
TEHNIČNA IN DRUGA POMOČ,5,TREBNJE
POŽARI IN EKSPLOZIJE,1,TRGOVIŠČE
NESREČE V PROMETU,1,TRNAVA
TEHNIČNA IN DRUGA POMOČ,2,TRNAVA
POŽARI IN EKSPLOZIJE,2,TRŽEC
NARAVNE NESREČE,1,TRŽIŠČE
POŽARI IN EKSPLOZIJE,3,TRŽIŠČE
POŽARI IN EKSPLOZIJE,2,TURIŠKA VAS
NARAVNE NESREČE,1,TURJE
POŽARI IN EKSPLOZIJE,1,TURJE
POŽARI IN EKSPLOZIJE,4,TURNIŠČE
NARAVNE NESREČE,1,UNEC
POŽARI IN EKSPLOZIJE,6,UNEC
TEHNIČNA IN DRUGA POMOČ,1,UNEC
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,VAS - FARA
DRUGE NESREČE,1,VELESOVO
POŽARI IN EKSPLOZIJE,1,VELESOVO
POŽARI IN EKSPLOZIJE,4,VELIKA DOLINA
POŽARI IN EKSPLOZIJE,2,VELIKA ILOVA GORA
NARAVNE NESREČE,2,VELIKA LOKA
NESREČE V PROMETU,1,VELIKA LOKA
POŽARI IN EKSPLOZIJE,3,VELIKA LOKA
POŽARI IN EKSPLOZIJE,5,VELIKA NEDELJA
TEHNIČNA IN DRUGA POMOČ,1,VELIKA NEDELJA
POŽARI IN EKSPLOZIJE,4,VELIKE LAŠČE
POŽARI IN EKSPLOZIJE,2,VELIKE POLJANE
POŽARI IN EKSPLOZIJE,1,VELIKI KAMEN
POŽARI IN EKSPLOZIJE,3,VELKA
POŽARI IN EKSPLOZIJE,5,VIDEM PRI PTUJU
TEHNIČNA IN DRUGA POMOČ,1,VIDEM PRI PTUJU
DRUGE NESREČE,1,VIPAVA
NARAVNE NESREČE,1,VIPAVA
NESREČE V PROMETU,1,VIPAVA
POŽARI IN EKSPLOZIJE,11,VIPAVA
TEHNIČNA IN DRUGA POMOČ,2,VIPAVA
DRUGE NESREČE,1,VIR
POŽARI IN EKSPLOZIJE,4,VIR
DRUGE NESREČE,1,VIŽMARJE BROD
NESREČE V PROMETU,1,VIŽMARJE BROD
POŽARI IN EKSPLOZIJE,3,VIŽMARJE BROD
DRUGE NESREČE,1,VOGLJE
POŽARI IN EKSPLOZIJE,1,VOGLJE
DRUGE NESREČE,1,VOGRIČEVCI
POŽARI IN EKSPLOZIJE,1,VOGRIČEVCI
POŽARI IN EKSPLOZIJE,1,VOJSKO
DRUGE NESREČE,1,VOKLO
TEHNIČNA IN DRUGA POMOČ,2,VOKLO
POŽARI IN EKSPLOZIJE,1,VOLIČINA
TEHNIČNA IN DRUGA POMOČ,1,VOLIČINA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,VRBLJENE - STRAHOMER
POŽARI IN EKSPLOZIJE,2,VRBLJENE - STRAHOMER
POŽARI IN EKSPLOZIJE,3,VRH PRI VIŠNJI GORI
POŽARI IN EKSPLOZIJE,1,VRSNIK
DRUGE NESREČE,4,VUHRED
NARAVNE NESREČE,1,VUHRED
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,VUHRED
POŽARI IN EKSPLOZIJE,2,VUHRED
TEHNIČNA IN DRUGA POMOČ,2,VUHRED
NARAVNE NESREČE,1,ZABREZNICA
POŽARI IN EKSPLOZIJE,8,ZABREZNICA
TEHNIČNA IN DRUGA POMOČ,1,ZABREZNICA
DRUGE NESREČE,1,ZABUKOVICA
NESREČE V PROMETU,1,ZABUKOVICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,ZABUKOVICA
POŽARI IN EKSPLOZIJE,4,ZABUKOVICA
TEHNIČNA IN DRUGA POMOČ,1,ZABUKOVICA
DRUGE NESREČE,1,ZADOBROVA - SNEBERJE - NOVO POLJE
POŽARI IN EKSPLOZIJE,4,ZADOBROVA - SNEBERJE - NOVO POLJE
DRUGE NESREČE,5,ZAGORJE MESTO
NARAVNE NESREČE,9,ZAGORJE MESTO
NESREČE V PROMETU,10,ZAGORJE MESTO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",3,ZAGORJE MESTO
POŽARI IN EKSPLOZIJE,16,ZAGORJE MESTO
TEHNIČNA IN DRUGA POMOČ,40,ZAGORJE MESTO
POŽARI IN EKSPLOZIJE,7,ZAGRAD - PEČOVNIK
POŽARI IN EKSPLOZIJE,4,ZAGRADEC NA DOLENJSKEM
POŽARI IN EKSPLOZIJE,1,ZAGRADEC PRI GROSUPLJEM
DRUGE NESREČE,1,ZALOG PRI CERKLJAH
POŽARI IN EKSPLOZIJE,2,ZALOG PRI CERKLJAH
POŽARI IN EKSPLOZIJE,1,ZAPUDJE
POŽARI IN EKSPLOZIJE,1,ZAVRSTNIK
TEHNIČNA IN DRUGA POMOČ,1,ZAVRSTNIK
NESREČE V PROMETU,1,ZBELOVO
POŽARI IN EKSPLOZIJE,2,ZBELOVO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,ZBIGOVCI
POŽARI IN EKSPLOZIJE,1,ZBIGOVCI
POŽARI IN EKSPLOZIJE,2,ZBILJE
DRUGE NESREČE,1,ZDENSKA VAS
POŽARI IN EKSPLOZIJE,4,ZDENSKA VAS
POŽARI IN EKSPLOZIJE,7,ZG. ŠIŠKA
NARAVNE NESREČE,2,ZGORNJA BISTRICA
POŽARI IN EKSPLOZIJE,10,ZGORNJA BISTRICA
TEHNIČNA IN DRUGA POMOČ,10,ZGORNJA BISTRICA
DRUGE NESREČE,1,ZGORNJA POLSKAVA
NARAVNE NESREČE,1,ZGORNJA POLSKAVA
POŽARI IN EKSPLOZIJE,4,ZGORNJA POLSKAVA
TEHNIČNA IN DRUGA POMOČ,3,ZGORNJA POLSKAVA
POŽARI IN EKSPLOZIJE,1,ZGORNJE KRAPJE
DRUGE NESREČE,1,ZGORNJE PIRNIČE
NARAVNE NESREČE,1,ZGORNJE PIRNIČE
POŽARI IN EKSPLOZIJE,4,ZGORNJE PIRNIČE
TEHNIČNA IN DRUGA POMOČ,2,ZGORNJE PIRNIČE
NESREČE V PROMETU,1,ZLATOLIČJE
DRUGE NESREČE,5,ZREČE
NESREČE V PROMETU,18,ZREČE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",5,ZREČE
POŽARI IN EKSPLOZIJE,11,ZREČE
TEHNIČNA IN DRUGA POMOČ,9,ZREČE
POŽARI IN EKSPLOZIJE,1,ŽEJE - BISTRICA
DRUGE NESREČE,3,ŽELEZNIKI
NARAVNE NESREČE,1,ŽELEZNIKI
POŽARI IN EKSPLOZIJE,4,ŽELEZNIKI
TEHNIČNA IN DRUGA POMOČ,4,ŽELEZNIKI
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,ŽEPOVCI
POŽARI IN EKSPLOZIJE,1,ŽEROVNICA
DRUGE NESREČE,1,ŽETALE
NARAVNE NESREČE,1,ŽETALE
POŽARI IN EKSPLOZIJE,1,ŽETALE
DRUGE NESREČE,1,ŽIRI
POŽARI IN EKSPLOZIJE,5,ŽIRI
TEHNIČNA IN DRUGA POMOČ,6,ŽIRI
POŽARI IN EKSPLOZIJE,1,ŽIŽKI
POŽARI IN EKSPLOZIJE,2,ŽUPELEVEC
NARAVNE NESREČE,1,ŠENTVID PRI GROBELNEM
POŽARI IN EKSPLOZIJE,1,ŠENTVID PRI GROBELNEM
TEHNIČNA IN DRUGA POMOČ,2,ŠENTVID PRI GROBELNEM
NESREČE V PROMETU,1,ŠINKOV TURN
POŽARI IN EKSPLOZIJE,1,ŠINKOV TURN
DRUGE NESREČE,1,ŠKOCIJAN
POŽARI IN EKSPLOZIJE,2,ŠKOCIJAN
TEHNIČNA IN DRUGA POMOČ,3,ŠKOCIJAN
DRUGE NESREČE,1,ŠKOFJA VAS
POŽARI IN EKSPLOZIJE,5,ŠKOFJA VAS
TEHNIČNA IN DRUGA POMOČ,1,ŠKOFJA VAS
POŽARI IN EKSPLOZIJE,4,ŠMARCA
POŽARI IN EKSPLOZIJE,1,ŠMARJE
TEHNIČNA IN DRUGA POMOČ,3,ŠMARJE
NESREČE V PROMETU,2,ŠMARJE PRI JELŠAH
POŽARI IN EKSPLOZIJE,9,ŠMARJE PRI JELŠAH
TEHNIČNA IN DRUGA POMOČ,6,ŠMARJE PRI JELŠAH
POŽARI IN EKSPLOZIJE,1,ŠMARJETA
DRUGE NESREČE,3,ŠMARTNO 
NARAVNE NESREČE,2,ŠMARTNO 
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,ŠMARTNO 
POŽARI IN EKSPLOZIJE,8,ŠMARTNO 
TEHNIČNA IN DRUGA POMOČ,1,ŠMARTNO 
POŽARI IN EKSPLOZIJE,6,ŠMARTNO OB PAKI
POŽARI IN EKSPLOZIJE,8,ŠMARTNO PRI LITIJI
TEHNIČNA IN DRUGA POMOČ,1,ŠMARTNO PRI LITIJI
DRUGE NESREČE,1,ŠT. JURIJ
POŽARI IN EKSPLOZIJE,1,ŠT. JURIJ
TEHNIČNA IN DRUGA POMOČ,1,ŠT. JURIJ
NESREČE V PROMETU,1,ŠTATENBERK
POŽARI IN EKSPLOZIJE,2,ŠTEFANJA GORA
DRUGE NESREČE,1,ŠTEPANJSKO NASELJE
POŽARI IN EKSPLOZIJE,3,ŠTEPANJSKO NASELJE
DRUGE NESREČE,1,ŠTJAK
POŽARI IN EKSPLOZIJE,5,ŠTJAK
TEHNIČNA IN DRUGA POMOČ,3,ŠTJAK
POŽARI IN EKSPLOZIJE,4,TALUM KIDRIČEVO
TEHNIČNA IN DRUGA POMOČ,2,TALUM KIDRIČEVO
DRUGE NESREČE,2,TANČA GORA
POŽARI IN EKSPLOZIJE,1,TANČA GORA
POŽARI IN EKSPLOZIJE,4,TEŠOVA
DRUGE NESREČE,5,TOLMIN
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2,TOLMIN
NESREČE V PROMETU,30,TOLMIN
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",7,TOLMIN
POŽARI IN EKSPLOZIJE,16,TOLMIN
TEHNIČNA IN DRUGA POMOČ,57,TOLMIN
NARAVNE NESREČE,1,TOMAČEVO - JARŠE
POŽARI IN EKSPLOZIJE,2,TOMAČEVO - JARŠE
POŽARI IN EKSPLOZIJE,1,TOMAŽJA VAS
DRUGE NESREČE,1,TOPOLE
NESREČE V PROMETU,2,TOPOLE
POŽARI IN EKSPLOZIJE,4,TOPOLE
TEHNIČNA IN DRUGA POMOČ,1,TOPOLE
NARAVNE NESREČE,1,TOPOLŠICA
POŽARI IN EKSPLOZIJE,2,TOPOLŠICA
TEHNIČNA IN DRUGA POMOČ,1,TOPOLŠICA
NARAVNE NESREČE,1,TRATA
POŽARI IN EKSPLOZIJE,13,TRATA
TEHNIČNA IN DRUGA POMOČ,12,TRATA
DRUGE NESREČE,2,TRBONJE
POŽARI IN EKSPLOZIJE,2,TRBONJE
NARAVNE NESREČE,1,TRBOVLJE - MESTO
NESREČE V PROMETU,1,TRBOVLJE - MESTO
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,TRBOVLJE - MESTO
POŽARI IN EKSPLOZIJE,7,TRBOVLJE - MESTO
TEHNIČNA IN DRUGA POMOČ,2,TRBOVLJE - MESTO
POŽARI IN EKSPLOZIJE,2,TREBIJA
DRUGE NESREČE,2,TRNIČE
JEDRSKI IN DRUGI DOGODKI,1,TRNIČE
NARAVNE NESREČE,1,TRNIČE
POŽARI IN EKSPLOZIJE,1,TRNIČE
DRUGE NESREČE,1,TRNOVCI
TEHNIČNA IN DRUGA POMOČ,1,TRNOVCI
POŽARI IN EKSPLOZIJE,6,TRNOVLJE
TEHNIČNA IN DRUGA POMOČ,1,TRNOVLJE
DRUGE NESREČE,1,TROJANE
POŽARI IN EKSPLOZIJE,4,TROJANE
DRUGE NESREČE,2,TRZIN
NARAVNE NESREČE,1,TRZIN
NESREČE V PROMETU,7,TRZIN
POŽARI IN EKSPLOZIJE,6,TRZIN
TEHNIČNA IN DRUGA POMOČ,11,TRZIN
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,TRŽIČ
POŽARI IN EKSPLOZIJE,6,TRŽIČ
TEHNIČNA IN DRUGA POMOČ,8,TRŽIČ
POŽARI IN EKSPLOZIJE,4,TUNJICE
POŽARI IN EKSPLOZIJE,3,TURJAK
TEHNIČNA IN DRUGA POMOČ,3,TURJAK
NARAVNE NESREČE,1,VAČE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,VAČE
POŽARI IN EKSPLOZIJE,2,VAČE
TEHNIČNA IN DRUGA POMOČ,1,VAČE
POŽARI IN EKSPLOZIJE,1,VANEČA
POŽARI IN EKSPLOZIJE,2,VAVTA VAS
TEHNIČNA IN DRUGA POMOČ,2,VAVTA VAS
DRUGE NESREČE,3,VELENJE
NARAVNE NESREČE,4,VELENJE
NESREČE V PROMETU,68,VELENJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",8,VELENJE
POŽARI IN EKSPLOZIJE,86,VELENJE
TEHNIČNA IN DRUGA POMOČ,109,VELENJE
POŽARI IN EKSPLOZIJE,1,VELIKA PIREŠICA
TEHNIČNA IN DRUGA POMOČ,2,VELIKA PIREŠICA
POŽARI IN EKSPLOZIJE,1,VELIKA POLANA
POŽARI IN EKSPLOZIJE,1,VELIKA STRMICA
NESREČE V PROMETU,1,VELIKI GABER
POŽARI IN EKSPLOZIJE,2,VELIKI GABER
TEHNIČNA IN DRUGA POMOČ,1,VELIKI GABER
POŽARI IN EKSPLOZIJE,5,VELIKI OBREŽ
TEHNIČNA IN DRUGA POMOČ,1,VELIKI OBREŽ
POŽARI IN EKSPLOZIJE,1,VELIKO MLAČEVO
NESREČE V PROMETU,1,VELIKO UBELJSKO
POŽARI IN EKSPLOZIJE,1,VELIKO UBELJSKO
DRUGE NESREČE,1,VERD
NARAVNE NESREČE,1,VERD
NESREČE V PROMETU,5,VERD
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",4,VERD
POŽARI IN EKSPLOZIJE,20,VERD
TEHNIČNA IN DRUGA POMOČ,4,VERD
DRUGE NESREČE,1,VIDEM
POŽARI IN EKSPLOZIJE,6,VIDEM
POŽARI IN EKSPLOZIJE,2,VIDEM OB SAVI
DRUGE NESREČE,2,VIDEŽ
POŽARI IN EKSPLOZIJE,5,VIDEŽ
TEHNIČNA IN DRUGA POMOČ,1,VIDEŽ
POŽARI IN EKSPLOZIJE,2,VINICA
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,VINSKA GORA
NARAVNE NESREČE,4,VINSKA GORA
POŽARI IN EKSPLOZIJE,8,VINSKA GORA
NARAVNE NESREČE,2,VIRMAŠE SV. DUH
POŽARI IN EKSPLOZIJE,6,VIRMAŠE SV. DUH
TEHNIČNA IN DRUGA POMOČ,4,VIRMAŠE SV. DUH
POŽARI IN EKSPLOZIJE,1,VISOKO - MILJE
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,VIŠNJA GORA
POŽARI IN EKSPLOZIJE,8,VIŠNJA GORA
TEHNIČNA IN DRUGA POMOČ,4,VIŠNJA GORA
DRUGE NESREČE,1,VITANJE
POŽARI IN EKSPLOZIJE,4,VITANJE
TEHNIČNA IN DRUGA POMOČ,2,VITANJE
POŽARI IN EKSPLOZIJE,1,VITOMARCI
NESREČE V PROMETU,1,VNANJE GORICE
POŽARI IN EKSPLOZIJE,5,VNANJE GORICE
TEHNIČNA IN DRUGA POMOČ,3,VNANJE GORICE
DRUGE NESREČE,2,VOJNIK
POŽARI IN EKSPLOZIJE,8,VOJNIK
TEHNIČNA IN DRUGA POMOČ,2,VOJNIK
DRUGE NESREČE,1,VRANSKO
NESREČE V PROMETU,1,VRANSKO
POŽARI IN EKSPLOZIJE,6,VRANSKO
TEHNIČNA IN DRUGA POMOČ,2,VRANSKO
DRUGE NESREČE,1,VRBJE
NESREČE V PROMETU,1,VRBJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,VRBJE
POŽARI IN EKSPLOZIJE,10,VRBJE
TEHNIČNA IN DRUGA POMOČ,1,VRBJE
DRUGE NESREČE,1,VRBOVO
POŽARI IN EKSPLOZIJE,3,VRBOVO
DRUGE NESREČE,1,VRH NAD LAŠKIM
NARAVNE NESREČE,3,VRH NAD LAŠKIM
POŽARI IN EKSPLOZIJE,1,VRH NAD LAŠKIM
DRUGE NESREČE,1,VRH NAD ŽELIMLJAMI
POŽARI IN EKSPLOZIJE,1,VRH SV. TREH KRALJEV
NARAVNE NESREČE,1,VRHNIKA
NESREČE V PROMETU,2,VRHNIKA
POŽARI IN EKSPLOZIJE,25,VRHNIKA
TEHNIČNA IN DRUGA POMOČ,14,VRHNIKA
DRUGE NESREČE,1,VRHPOLJE PRI VIPAVI
POŽARI IN EKSPLOZIJE,3,VRHPOLJE PRI VIPAVI
TEHNIČNA IN DRUGA POMOČ,1,VRHPOLJE PRI VIPAVI
POŽARI IN EKSPLOZIJE,1,VUČJA GOMILA
POŽARI IN EKSPLOZIJE,2,VUČJA VAS
DRUGE NESREČE,6,VUZENICA
POŽARI IN EKSPLOZIJE,5,VUZENICA
TEHNIČNA IN DRUGA POMOČ,1,VUZENICA
POŽARI IN EKSPLOZIJE,1,ZABUKOVJE
POŽARI IN EKSPLOZIJE,5,ZAGORICA
DRUGE NESREČE,5,ZAGORJE
POŽARI IN EKSPLOZIJE,2,ZAGORJE
DRUGE NESREČE,1,ZALOG - SP.KAŠELJ
