Omejitve
"Omejitve:
Skupina dogodkov: Požari na prometnih sredstvih
ReCO: vse
Občina: vse
Leto: 
2010
Mesec: vse
Dan: vse"

Dogodek,Textbox20,OpisRanga,Textbox24,NastanekDatumCas,PKID,Textbox15
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,4.9.2010 11:20:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,27.9.2010 11:20:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,7.10.2010 10:31:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,7.10.2010 10:50:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,12.10.2010 9:59:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,13.10.2010 10:22:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,13.10.2010 11:37:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,15.10.2010 10:28:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,2.11.2010 11:47:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,4.11.2010 11:55:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,10.11.2010 11:53:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,20.11.2010 9:48:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,8.12.2010 10:28:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,16.12.2010 9:05:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,24.12.2010 11:53:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,26.12.2010 9:22:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,8.1.2010 12:30:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,27.1.2010 14:27:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,29.1.2010 14:35:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,2.2.2010 13:08:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,5.2.2010 14:19:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,7.2.2010 12:32:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,19.2.2010 14:31:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,21.2.2010 13:16:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,24.2.2010 14:30:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,25.2.2010 14:06:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,26.2.2010 12:43:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,27.2.2010 14:30:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,16.3.2010 12:36:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,7.4.2010 13:09:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,7.4.2010 14:54:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,8.4.2010 12:50:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,10.4.2010 14:53:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,17.4.2010 12:43:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,19.4.2010 12:15:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,20.4.2010 13:07:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,24.4.2010 13:37:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,30.4.2010 14:46:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,2.5.2010 12:02:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,9.5.2010 14:48:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,13.6.2010 14:31:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,12.7.2010 13:40:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,14.7.2010 12:02:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,15.7.2010 14:14:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,23.7.2010 12:28:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,4.8.2010 14:32:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,5.8.2010 13:28:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,7.8.2010 14:49:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,14.8.2010 14:47:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,19.8.2010 13:55:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,20.8.2010 12:34:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,25.8.2010 14:15:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,26.8.2010 13:09:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,29.8.2010 12:16:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,30.8.2010 12:53:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,1.9.2010 14:40:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,2.9.2010 12:46:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,2.9.2010 14:18:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,7.9.2010 13:56:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,8.9.2010 12:14:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,16.9.2010 12:01:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,29.9.2010 12:02:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,5.10.2010 12:09:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,17.10.2010 12:05:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,23.10.2010 13:00:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,31.10.2010 14:35:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,2.11.2010 13:35:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,5.11.2010 14:42:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,7.11.2010 14:22:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,11.11.2010 12:17:00,1,437
požari na sredstvih cestnega prometa,394,od 12. do 15. ure,63,11.11.2010 14:48:00,1,437
